Seed,n01_RS_correct_BO_wrong,n10_BO_correct_RS_wrong,p_value,Significant
42,173,241,0.0009687228302504354,True
1337,211,225,0.533604062500382,False
2024,222,273,0.024520745546420815,True
9001,229,235,0.816476187771787,False
31415,207,242,0.10848756386456786,False
771294,241,246,0.8561892348342127,False
5921,185,233,0.021401981173677646,True
813745,201,307,2.94394341115849e-06,True
16652,216,355,6.514641704791698e-09,True
1086,219,261,0.061178970319077534,False
